Metod, Typ, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka
7, 1, 100, 61, 33, 37, 40, 100, 70, 30, 60, 83
7, 1, 21, 100, 66, 40, 75, 100, 32, 45, 84, 63
7, 1, 64, 100, 9, 74, 64, 100, 38, 29, 76, 54
7, 1, 82, 43, 34, 74, 85, 100, 44, 36, 84, 80
7, 1, 61, 85, 63, 41, 70, 100, 30, 22, 68, 66
7, 1, 30, 76, 66, 39, 66, 100, 35, 20, 100, 57
7, 1, 100, 63, 17, 56, 79, 100, 69, 28, 63, 74
7, 1, 61, 23, 52, 26, 31, 100, 34, 28, 76, 63
7, 1, 87, 50, 57, 36, 74, 100, 50, 14, 73, 71
7, 1, 63, 50, 32, 50, 57, 100, 19, 20, 59, 27
7, 1, 36, 80, 32, 69, 75, 100, 72, 36, 73, 72
7, 1, 100, 70, 45, 100, 75, 100, 71, 28, 100, 91
7, 1, 81, 67, 21, 84, 82, 100, 74, 67, 100, 81
7, 1, 37, 81, 56, 59, 87, 100, 56, 37, 74, 57
7, 1, 100, 46, 34, 50, 55, 100, 50, 50, 50, 100
7, 1, 33, 67, 50, 63, 76, 100, 33, 35, 82, 64
7, 1, 78, 50, 42, 56, 50, 100, 43, 37, 100, 63
7, 1, 70, 78, 55, 63, 87, 100, 33, 15, 74, 80
7, 1, 79, 66, 13, 72, 23, 100, 81, 30, 100, 100
7, 1, 100, 68, 24, 69, 72, 100, 50, 63, 72, 78
7, 1, 84, 90, 82, 24, 84, 100, 50, 50, 50, 50
7, 1, 84, 68, 27, 78, 64, 100, 62, 15, 86, 60
7, 1, 78, 86, 66, 96, 86, 100, 79, 50, 91, 81
7, 1, 82, 70, 70, 41, 77, 100, 70, 9, 77, 56
7, 1, 47, 81, 53, 46, 34, 100, 34, 54, 77, 50
7, 1, 95, 41, 0, 71, 50, 100, 50, 0, 63, 70
7, 1, 66, 61, 71, 33, 42, 100, 55, 7, 95, 72
7, 1, 28, 37, 76, 26, 27, 100, 64, 30, 65, 76
7, 1, 68, 31, 56, 36, 59, 100, 32, 37, 77, 49
7, 1, 89, 67, 26, 75, 79, 100, 56, 16, 85, 71
7, 1, 65, 85, 28, 73, 100, 100, 0, 22, 100, 11
7, 1, 82, 77, 57, 84, 83, 100, 60, 41, 85, 85
7, 1, 59, 23, 38, 65, 22, 100, 17, 22, 69, 28
7, 1, 75, 63, 37, 47, 80, 100, 40, 34, 100, 82
7, 1, 100, 77, 50, 95, 66, 100, 59, 50, 50, 50
7, 1, 36, 81, 73, 0, 80, 100, 50, 50, 50, 50
7, 1, 19, 100, 22, 44, 100, 100, 21, 15, 59, 30
7, 1, 100, 40, 51, 34, 68, 0, 100, 100, 0, 0
7, 1, 74, 51, 35, 35, 72, 100, 23, 30, 100, 100
7, 1, 50, 50, 50, 50, 50, 100, 32, 43, 79, 72
7, 1, 60, 70, 62, 53, 75, 100, 47, 50, 85, 69
7, 1, 34, 73, 23, 75, 61, 61, 46, 39, 49, 47
7, 1, 70, 48, 44, 67, 65, 100, 42, 65, 75, 50
7, 1, 51, 68, 86, 39, 60, 100, 55, 37, 75, 56
7, 1, 75, 64, 25, 65, 73, 100, 28, 0, 76, 75
7, 1, 30, 44, 24, 28, 39, 100, 20, 20, 67, 50
7, 1, 90, 65, 43, 94, 70, 100, 59, 38, 83, 82
7, 1, 84, 31, 39, 87, 59, 100, 73, 66, 100, 100
7, 1, 100, 23, 14, 74, 73, 100, 28, 0, 79, 82
7, 1, 92, 33, 23, 63, 50, 100, 47, 50, 65, 85
7, 1, 61, 61, 56, 50, 79, 100, 56, 60, 78, 73
7, 1, 82, 77, 76, 83, 93, 100, 50, 50, 50, 50
7, 1, 66, 50, 50, 50, 50, 100, 56, 51, 80, 72
7, 1, 76, 93, 68, 73, 90, 100, 71, 71, 94, 79
